"Comment","Designator","Footprint Type","Footprint","LCSC","JLC","QTY"
"100nF","C1,C2","SMD","Capacitor_SMD_1206_inSilk","C24497","1206","2"
"1N4148","D1,D2,D3,D4,D5,D6,D7,D8","SMD","Diode_SMD_SOD-123_inSilk","C81598","SOD-323","8"
"SK6812MINI-E","LED1,LED2,LED3,LED4,LED5,LED6","SMD","LED_SK6812MINI-E","C5149201","SMD","6"
"SW_Push","SW3,SW4,SW5,SW6,SW7,SW8","SMD","SW_MX_HotSwap_sqSilk","C2803348","SMD","6"
"XIAO-RP2040","U1","SMD","MCU_XIAO-RP2040","C9900177322","SMD-14P","1"
